iteration,configuration selected,% warnings removed (cumulative),number of warnings remaining,minimal set
0,,0,2010,[]
1,914,47.61194029850746,1053,['914']
2,39,71.99004975124377,563,"['914', '39']"
3,175,85.02487562189054,301,"['914', '39', '175']"
4,317,91.7412935323383,166,"['914', '39', '175', '317']"
5,485,95.22388059701493,96,"['914', '39', '175', '317', '485']"
6,164,97.363184079602,53,"['914', '39', '175', '317', '485', '164']"
7,477,98.45771144278606,31,"['914', '39', '175', '317', '485', '164', '477']"
8,603,99.05472636815921,19,"['914', '39', '175', '317', '485', '164', '477', '603']"
9,857,99.50248756218906,10,"['914', '39', '175', '317', '485', '164', '477', '603', '857']"
10,176,99.70149253731343,6,"['914', '39', '175', '317', '485', '164', '477', '603', '857', '176']"
11,720,99.80099502487563,4,"['914', '39', '175', '317', '485', '164', '477', '603', '857', '176', '720']"
12,315,99.90049751243781,2,"['914', '39', '175', '317', '485', '164', '477', '603', '857', '176', '720', '315']"
13,0,99.95024875621891,1,"['914', '39', '175', '317', '485', '164', '477', '603', '857', '176', '720', '315', '0']"
14,176,100.0,0,"['914', '39', '175', '317', '485', '164', '477', '603', '857', '176', '720', '315', '0', '176']"
