iteration,removed,% remaining,num remaining,configs
1,601,41.51910531220876,2510,['601']
2,287,65.05125815470643,1500,"['601', '287']"
3,725,78.58807082945015,919,"['601', '287', '725']"
4,987,86.90587138863,562,"['601', '287', '725', '987']"
5,489,91.98508853681268,344,"['601', '287', '725', '987', '489']"
6,296,95.06057781919851,212,"['601', '287', '725', '987', '489', '296']"
7,38,96.97110904007455,130,"['601', '287', '725', '987', '489', '296', '38']"
8,855,98.15936626281454,79,"['601', '287', '725', '987', '489', '296', '38', '855']"
9,430,98.928238583411,46,"['601', '287', '725', '987', '489', '296', '38', '855', '430']"
10,313,99.34762348555452,28,"['601', '287', '725', '987', '489', '296', '38', '855', '430', '313']"
11,875,99.62721342031688,16,"['601', '287', '725', '987', '489', '296', '38', '855', '430', '313', '875']"
12,699,99.79030754892824,9,"['601', '287', '725', '987', '489', '296', '38', '855', '430', '313', '875', '699']"
13,276,99.90680335507922,4,"['601', '287', '725', '987', '489', '296', '38', '855', '430', '313', '875', '699', '276']"
14,922,99.95340167753962,2,"['601', '287', '725', '987', '489', '296', '38', '855', '430', '313', '875', '699', '276', '922']"
15,276,99.9767008387698,1,"['601', '287', '725', '987', '489', '296', '38', '855', '430', '313', '875', '699', '276', '922', '276']"
16,276,100.0,0,"['601', '287', '725', '987', '489', '296', '38', '855', '430', '313', '875', '699', '276', '922', '276', '276']"
